2019-05-29 15:57:26,293 | WARN | AbstractApplicationContext.java 558 | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getFileSystemAdapter' defined in io.mosip.registration.processor.core.kernel.beans.KernelConfig: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [io.mosip.kernel.core.fsadapter.spi.FileSystemAdapter]: Factory method 'getFileSystemAdapter' threw exception; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getConnectionUtil': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'mosip.kernel.fsadapter.hdfs.name-node-url' in value "${mosip.kernel.fsadapter.hdfs.name-node-url}"
2019-05-29 15:58:42,187 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 15:58:42 IST 2019]; root of context hierarchy
2019-05-29 15:58:42,923 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 15:58:49,220 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 15:59:54,809 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 15:59:54 IST 2019]; root of context hierarchy
2019-05-29 15:59:55,557 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 15:59:58,788 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:01:57,040 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:01:57 IST 2019]; root of context hierarchy
2019-05-29 16:01:57,773 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:02:03,978 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:03:38,108 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:03:38 IST 2019]; root of context hierarchy
2019-05-29 16:03:39,077 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:03:45,195 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:05:42,006 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:05:42 IST 2019]; root of context hierarchy
2019-05-29 16:05:42,789 | WARN | ConfigurationClassEnhancer.java 353 | @Bean method CoreConfigBean.getPropertiesFromConfigServer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2019-05-29 16:05:47,618 | WARN | NativeCodeLoader.java 62 | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-29 16:07:37,226 | INFO | AbstractApplicationContext.java 590 | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2669b199: startup date [Wed May 29 16:07:37 IST 2019]; root of context hierarchy
